prison_type,convicted_status,offense_category,specific_offense,number
local,convicted,violent,assault,80006
local,awaiting trial,drugs,possession,75624
...
state,,violent,murder,172441
...
juvenile,delinquent,technical,,9882
juvenile,status offense,,,2236
...
immigration,,,,32805
...
...
